In game,Rank,Rank point,Win rate,URL
PwVx Hc9999na,Challenger,"1,711 LP",60% Win Rate,https://u.gg/lol/profile/na1/pwvx hc9999na
MU APA,Challenger,"1,702 LP",57% Win Rate,https://u.gg/lol/profile/na1/mu apa
c2 meteos,Challenger,"1,689 LP",55% Win Rate,https://u.gg/lol/profile/na1/c2 meteos
WX Arendel,Challenger,"1,630 LP",57% Win Rate,https://u.gg/lol/profile/na1/wx arendel
winnie poohbear,Challenger,"1,554 LP",55% Win Rate,https://u.gg/lol/profile/na1/winnie poohbear
zeyzal7,Challenger,"1,519 LP",60% Win Rate,https://u.gg/lol/profile/na1/zeyzal7
winstxn,Challenger,"1,460 LP",55% Win Rate,https://u.gg/lol/profile/na1/winstxn
Wakanda f0rever,Challenger,"1,446 LP",69% Win Rate,https://u.gg/lol/profile/na1/wakanda f0rever
Wx Mjm978244659,Challenger,"1,437 LP",57% Win Rate,https://u.gg/lol/profile/na1/wx mjm978244659
Topo,Challenger,"1,431 LP",54% Win Rate,https://u.gg/lol/profile/na1/topo
Feather Daddy,Challenger,"1,423 LP",52% Win Rate,https://u.gg/lol/profile/na1/feather daddy
no invade pls,Challenger,"1,408 LP",53% Win Rate,https://u.gg/lol/profile/na1/no invade pls
13anana Pudding,Challenger,"1,395 LP",63% Win Rate,https://u.gg/lol/profile/na1/13anana pudding
Fishlord,Challenger,"1,394 LP",53% Win Rate,https://u.gg/lol/profile/na1/fishlord
GeneralSn1per,Challenger,"1,364 LP",54% Win Rate,https://u.gg/lol/profile/na1/generalsn1per
Ablazeolive,Challenger,"1,341 LP",56% Win Rate,https://u.gg/lol/profile/na1/ablazeolive
TTV KoKooPuffs,Challenger,"1,320 LP",55% Win Rate,https://u.gg/lol/profile/na1/ttv kokoopuffs
duoking1,Challenger,"1,314 LP",58% Win Rate,https://u.gg/lol/profile/na1/duoking1
SiddyWiddy123,Challenger,"1,318 LP",57% Win Rate,https://u.gg/lol/profile/na1/siddywiddy123
SkyTec18,Challenger,"1,279 LP",57% Win Rate,https://u.gg/lol/profile/na1/skytec18
rocks908,Challenger,"1,271 LP",53% Win Rate,https://u.gg/lol/profile/na1/rocks908
RoseThorn,Challenger,"1,267 LP",55% Win Rate,https://u.gg/lol/profile/na1/rosethorn
Samikin,Challenger,"1,266 LP",55% Win Rate,https://u.gg/lol/profile/na1/samikin
GRIZZLEY,Challenger,"1,265 LP",55% Win Rate,https://u.gg/lol/profile/na1/grizzley
maplestory5,Challenger,"1,260 LP",56% Win Rate,https://u.gg/lol/profile/na1/maplestory5
Rebopah,Challenger,"1,256 LP",59% Win Rate,https://u.gg/lol/profile/na1/rebopah
Neøø,Challenger,"1,255 LP",54% Win Rate,https://u.gg/lol/profile/na1/neøø
FORA999,Challenger,"1,246 LP",61% Win Rate,https://u.gg/lol/profile/na1/fora999
gumaguma12,Challenger,"1,245 LP",69% Win Rate,https://u.gg/lol/profile/na1/gumaguma12
Pentaless,Challenger,"1,229 LP",53% Win Rate,https://u.gg/lol/profile/na1/pentaless
Dun,Challenger,"1,229 LP",55% Win Rate,https://u.gg/lol/profile/na1/dun
Livatious,Challenger,"1,227 LP",56% Win Rate,https://u.gg/lol/profile/na1/livatious
1nori,Challenger,"1,212 LP",55% Win Rate,https://u.gg/lol/profile/na1/1nori
ScaryJerry,Challenger,"1,212 LP",52% Win Rate,https://u.gg/lol/profile/na1/scaryjerry
TwTv KoKooPuffs,Challenger,"1,209 LP",51% Win Rate,https://u.gg/lol/profile/na1/twtv kokoopuffs
wechat Hc9999na,Challenger,"1,208 LP",57% Win Rate,https://u.gg/lol/profile/na1/wechat hc9999na
Najib Waheed,Challenger,"1,207 LP",59% Win Rate,https://u.gg/lol/profile/na1/najib waheed
Srtty,Challenger,"1,205 LP",53% Win Rate,https://u.gg/lol/profile/na1/srtty
dtro18,Challenger,"1,204 LP",53% Win Rate,https://u.gg/lol/profile/na1/dtro18
plmzxcvcxx,Challenger,"1,202 LP",60% Win Rate,https://u.gg/lol/profile/na1/plmzxcvcxx
FLY Yuuji,Challenger,"1,190 LP",54% Win Rate,https://u.gg/lol/profile/na1/fly yuuji
Nikkone,Challenger,"1,190 LP",56% Win Rate,https://u.gg/lol/profile/na1/nikkone
Himejima Gyoumei,Challenger,"1,185 LP",56% Win Rate,https://u.gg/lol/profile/na1/himejima gyoumei
TE AMO KARLA,Challenger,"1,183 LP",54% Win Rate,https://u.gg/lol/profile/na1/te amo karla 
